lib_id,species,genus,family,year,site,type,order
S17BSBatR15,Aselliscus stoliczkanus,Aselliscus,Hipposideridae,2017,BS,single_gut,1
S17BSBatR16,Aselliscus stoliczkanus,Aselliscus,Hipposideridae,2017,BS,single_gut,2
S17BSBatR48,Aselliscus stoliczkanus,Aselliscus,Hipposideridae,2017,BS,single_gut,3
S17BSBatR06,Aselliscus stoliczkanus,Aselliscus,Hipposideridae,2017,BS,single_gut,4
S17BSBatR07,Aselliscus stoliczkanus,Aselliscus,Hipposideridae,2017,BS,single_gut,5
S17BSBatR08,Aselliscus stoliczkanus,Aselliscus,Hipposideridae,2017,BS,single_gut,6
S15BSBatR02,Aselliscus stoliczkanus,Aselliscus,Hipposideridae,2015,BS,single_gut,7
S15BSBatR03,Aselliscus stoliczkanus,Aselliscus,Hipposideridae,2015,BS,single_gut,8
S17BSBatR41,Aselliscus stoliczkanus,Aselliscus,Hipposideridae,2017,BS,single_gut,9
S17BSBatR42,Aselliscus stoliczkanus,Aselliscus,Hipposideridae,2017,BS,single_gut,10
S17BSBatR43,Aselliscus stoliczkanus,Aselliscus,Hipposideridae,2017,BS,single_gut,11
S17BSBatR44,Aselliscus stoliczkanus,Aselliscus,Hipposideridae,2017,BS,single_gut,12
S17BSBatR45,Aselliscus stoliczkanus,Aselliscus,Hipposideridae,2017,BS,single_gut,13
S17BSBatR46,Aselliscus stoliczkanus,Aselliscus,Hipposideridae,2017,BS,single_gut,14
S17BSBatR47,Aselliscus stoliczkanus,Aselliscus,Hipposideridae,2017,BS,single_gut,15
S17BSBatR49,Aselliscus stoliczkanus,Aselliscus,Hipposideridae,2017,BS,single_gut,16
S15BSBatR07,Aselliscus stoliczkanus,Aselliscus,Hipposideridae,2015,BS,single_gut,17
S15BSBatR08,Aselliscus stoliczkanus,Aselliscus,Hipposideridae,2015,BS,single_gut,18
S15BSBatR09,Aselliscus stoliczkanus,Aselliscus,Hipposideridae,2015,BS,single_gut,19
S17BSBatR17,Aselliscus stoliczkanus,Aselliscus,Hipposideridae,2017,BS,single_gut,20
S17BSBatR18,Aselliscus stoliczkanus,Aselliscus,Hipposideridae,2017,BS,single_gut,21
S17BSBatR19,Aselliscus stoliczkanus,Aselliscus,Hipposideridae,2017,BS,single_gut,22
S17BSBatR20,Aselliscus stoliczkanus,Aselliscus,Hipposideridae,2017,BS,single_gut,23
S17BSBatR04,Aselliscus stoliczkanus,Aselliscus,Hipposideridae,2017,BS,single_gut,24
S17BSBatR31,Aselliscus stoliczkanus,Aselliscus,Hipposideridae,2017,BS,single_gut,25
S17BSBatR33,Aselliscus stoliczkanus,Aselliscus,Hipposideridae,2017,BS,single_gut,26
S17BSBatR34,Aselliscus stoliczkanus,Aselliscus,Hipposideridae,2017,BS,single_gut,27
S17BSBatR35,Aselliscus stoliczkanus,Aselliscus,Hipposideridae,2017,BS,single_gut,28
S17BSBatR36,Aselliscus stoliczkanus,Aselliscus,Hipposideridae,2017,BS,single_gut,29
S17BSBatR37,Aselliscus stoliczkanus,Aselliscus,Hipposideridae,2017,BS,single_gut,30
S17BSBatR38,Aselliscus stoliczkanus,Aselliscus,Hipposideridae,2017,BS,single_gut,31
S17BSBatR39,Aselliscus stoliczkanus,Aselliscus,Hipposideridae,2017,BS,single_gut,32
S17BSBatR50,Aselliscus stoliczkanus,Aselliscus,Hipposideridae,2017,BS,single_gut,33
S17BSBatR09,Aselliscus stoliczkanus,Aselliscus,Hipposideridae,2017,BS,single_gut,34
S17BSBatR10,Aselliscus stoliczkanus,Aselliscus,Hipposideridae,2017,BS,single_gut,35
S17WDBatR05,Cynopterus sphinx,Cynopterus,Pteropodidae,2017,WD,single_gut,36
S16WDBatR58,Cynopterus sphinx,Cynopterus,Pteropodidae,2016,WD,single_gut,37
S17WDBatR04,Cynopterus sphinx,Cynopterus,Pteropodidae,2017,WD,single_gut,38
S17WDBatR08,Cynopterus sphinx,Cynopterus,Pteropodidae,2017,WD,single_gut,39
S17WDBatR03,Cynopterus sphinx,Cynopterus,Pteropodidae,2017,WD,single_gut,40
S18WDBatR01,Cynopterus sphinx,Cynopterus,Pteropodidae,2018,WD,single_gut,41
S17WDBatR06,Cynopterus sphinx,Cynopterus,Pteropodidae,2017,WD,single_gut,42
S17WDBatR09,Cynopterus sphinx,Cynopterus,Pteropodidae,2017,WD,single_gut,43
S16WDBatR60,Cynopterus sphinx,Cynopterus,Pteropodidae,2016,WD,single_gut,44
S16WDBatR61,Eonycteris spelaea,Eonycteris,Pteropodidae,2016,WD,single_gut,45
S18WDBatR02,Eonycteris spelaea,Eonycteris,Pteropodidae,2018,WD,single_gut,46
S17BSBatR05,Hipposideros pomona,Hipposideros,Hipposideridae,2017,BS,single_gut,47
S17BSBatR03,Hipposideros pomona,Hipposideros,Hipposideridae,2017,BS,single_gut,48
S18LSBatR57,Hipposideros armiger,Hipposideros,Hipposideridae,2018,LS,single_gut,49
S18LSBatR58,Hipposideros armiger,Hipposideros,Hipposideridae,2018,LS,single_gut,50
S18LSBatR53,Hipposideros armiger,Hipposideros,Hipposideridae,2018,LS,single_gut,51
S18LSBatR54,Hipposideros armiger,Hipposideros,Hipposideridae,2018,LS,single_gut,52
S18LSBatR55,Hipposideros armiger,Hipposideros,Hipposideridae,2018,LS,single_gut,53
S18LSBatR56,Hipposideros armiger,Hipposideros,Hipposideridae,2018,LS,single_gut,54
S18LSBatR60,Hipposideros armiger,Hipposideros,Hipposideridae,2018,LS,single_gut,55
S18LSBatR59,Hipposideros armiger,Hipposideros,Hipposideridae,2018,LS,single_gut,56
S19MLBatR10,Hipposideros armiger,Hipposideros,Hipposideridae,2019,ML,single_gut,57
S19MLBatR09,Hipposideros armiger,Hipposideros,Hipposideridae,2019,ML,single_gut,58
S19MLBatR11,Hipposideros armiger,Hipposideros,Hipposideridae,2019,ML,single_gut,59
S15ZKBatR23,Hipposideros larvatus,Hipposideros,Hipposideridae,2015,ZK,single_gut,60
S15ZKBatR21,Hipposideros larvatus,Hipposideros,Hipposideridae,2015,ZK,single_gut,61
S15ZKBatR22,Hipposideros larvatus,Hipposideros,Hipposideridae,2015,ZK,single_gut,62
S15ZKBatR24,Hipposideros larvatus,Hipposideros,Hipposideridae,2015,ZK,single_gut,63
S15ZKBatR25,Hipposideros larvatus,Hipposideros,Hipposideridae,2015,ZK,single_gut,64
S15ZKBatR26,Hipposideros larvatus,Hipposideros,Hipposideridae,2015,ZK,single_gut,65
S15ZKBatR27,Hipposideros larvatus,Hipposideros,Hipposideridae,2015,ZK,single_gut,66
S15ZKBatR28,Hipposideros larvatus,Hipposideros,Hipposideridae,2015,ZK,single_gut,67
S15ZKBatR29,Hipposideros larvatus,Hipposideros,Hipposideridae,2015,ZK,single_gut,68
S15ZKBatR30,Hipposideros larvatus,Hipposideros,Hipposideridae,2015,ZK,single_gut,69
S15ZKBatR11,Hipposideros larvatus,Hipposideros,Hipposideridae,2015,ZK,single_gut,70
S15ZKBatR12,Hipposideros larvatus,Hipposideros,Hipposideridae,2015,ZK,single_gut,71
S15ZKBatR13,Hipposideros larvatus,Hipposideros,Hipposideridae,2015,ZK,single_gut,72
S18LSBatR81,Rhinolophus affinis,Rhinolophus,Rhinolophidae,2018,LS,single_gut,73
S18LSBatR74,Rhinolophus macrotis,Rhinolophus,Rhinolophidae,2018,LS,single_gut,74
S18LSBatR73,Rhinolophus macrotis,Rhinolophus,Rhinolophidae,2018,LS,single_gut,75
S18LSBatR76,Rhinolophus pearsonii,Rhinolophus,Rhinolophidae,2018,LS,single_gut,76
S18LSBatR78,Rhinolophus pearsonii,Rhinolophus,Rhinolophidae,2018,LS,single_gut,77
S18CXBatR07,Rhinolophus marshalli,Rhinolophus,Rhinolophidae,2018,CX,single_gut,78
S18CXBatR19,Rhinolophus marshalli,Rhinolophus,Rhinolophidae,2018,CX,single_gut,79
S18CXBatR04,Rhinolophus marshalli,Rhinolophus,Rhinolophidae,2018,CX,single_gut,80
S18CXBatR05,Rhinolophus marshalli,Rhinolophus,Rhinolophidae,2018,CX,single_gut,81
S18CXBatR24,Rhinolophus marshalli,Rhinolophus,Rhinolophidae,2018,CX,single_gut,82
S18CXBatR26,Rhinolophus marshalli,Rhinolophus,Rhinolophidae,2018,CX,single_gut,83
S18CXBatR27,Rhinolophus marshalli,Rhinolophus,Rhinolophidae,2018,CX,single_gut,84
S18CXBatR10,Rhinolophus pusillus,Rhinolophus,Rhinolophidae,2018,CX,single_gut,85
S18CXBatR21,Rhinolophus pusillus,Rhinolophus,Rhinolophidae,2018,CX,single_gut,86
S18CXBatR16,Rhinolophus pusillus,Rhinolophus,Rhinolophidae,2018,CX,single_gut,87
S18CXBatR29,Rhinolophus pusillus,Rhinolophus,Rhinolophidae,2018,CX,single_gut,88
S18CXBatR20,Rhinolophus pusillus,Rhinolophus,Rhinolophidae,2018,CX,single_gut,89
S18CXBatR09,Rhinolophus pusillus,Rhinolophus,Rhinolophidae,2018,CX,single_gut,90
S18CXBatR02,Rhinolophus pusillus,Rhinolophus,Rhinolophidae,2018,CX,single_gut,91
S18CXBatR15,Rhinolophus pusillus,Rhinolophus,Rhinolophidae,2018,CX,single_gut,92
S18CXBatR22,Rhinolophus pusillus,Rhinolophus,Rhinolophidae,2018,CX,single_gut,93
S18CXBatR14-2,Rhinolophus pusillus,Rhinolophus,Rhinolophidae,2018,CX,single_gut,94
S18CXBatR12,Rhinolophus pusillus,Rhinolophus,Rhinolophidae,2018,CX,single_gut,95
S18CXBatR13,Rhinolophus pusillus,Rhinolophus,Rhinolophidae,2018,CX,single_gut,96
S18CXBatR23,Rhinolophus pusillus,Rhinolophus,Rhinolophidae,2018,CX,single_gut,97
S18CXBatR25,Rhinolophus pusillus,Rhinolophus,Rhinolophidae,2018,CX,single_gut,98
S18CXBatR30,Rhinolophus pusillus,Rhinolophus,Rhinolophidae,2018,CX,single_gut,99
S18CXBatR31,Rhinolophus pusillus,Rhinolophus,Rhinolophidae,2018,CX,single_gut,100
S18CXBatR08,Rhinolophus stheno,Rhinolophus,Rhinolophidae,2018,CX,single_gut,101
S18CXBatR18,Rhinolophus stheno,Rhinolophus,Rhinolophidae,2018,CX,single_gut,102
S18CXBatR01,Rhinolophus stheno,Rhinolophus,Rhinolophidae,2018,CX,single_gut,103
S18CXBatR03,Rhinolophus stheno,Rhinolophus,Rhinolophidae,2018,CX,single_gut,104
S18CXBatR06,Rhinolophus stheno,Rhinolophus,Rhinolophidae,2018,CX,single_gut,105
S18CXBatR28,Rhinolophus stheno,Rhinolophus,Rhinolophidae,2018,CX,single_gut,106
S18CXBatR17-2,Rhinolophus stheno,Rhinolophus,Rhinolophidae,2018,CX,single_gut,107
S18CXBatR11,Rhinolophus stheno,Rhinolophus,Rhinolophidae,2018,CX,single_gut,108
S15BSBatR06,Rhinolophus stheno,Rhinolophus,Rhinolophidae,2015,BS,single_gut,109
S15BSBatR05,Rhinolophus stheno,Rhinolophus,Rhinolophidae,2015,BS,single_gut,110
S15BSBatR01,Rhinolophus stheno,Rhinolophus,Rhinolophidae,2015,BS,single_gut,111
S15BSBatR04,Rhinolophus stheno,Rhinolophus,Rhinolophidae,2015,BS,single_gut,112
S17BSBatR11,Rhinolophus thomasi,Rhinolophus,Rhinolophidae,2017,BS,single_gut,113
S17BSBatR13,Rhinolophus thomasi,Rhinolophus,Rhinolophidae,2017,BS,single_gut,114
S17BSBatR14,Rhinolophus thomasi,Rhinolophus,Rhinolophidae,2017,BS,single_gut,115
S17BSBatR01,Rhinolophus thomasi,Rhinolophus,Rhinolophidae,2017,BS,single_gut,116
S17BSBatR02,Rhinolophus thomasi,Rhinolophus,Rhinolophidae,2017,BS,single_gut,117
S17BSBatR12,Rhinolophus thomasi,Rhinolophus,Rhinolophidae,2017,BS,single_gut,118
S17BSBatR40,Rhinolophus thomasi,Rhinolophus,Rhinolophidae,2017,BS,single_gut,119
S18LSBatR77,Rhinolophus thomasi,Rhinolophus,Rhinolophidae,2018,LS,single_gut,120
S18LSBatR80,Rhinolophus thomasi,Rhinolophus,Rhinolophidae,2018,LS,single_gut,121
S18LSBatR82,Rhinolophus thomasi,Rhinolophus,Rhinolophidae,2018,LS,single_gut,122
S18LSBatR79,Rhinolophus thomasi,Rhinolophus,Rhinolophidae,2018,LS,single_gut,123
S18LSBatR75,Rhinolophus thomasi,Rhinolophus,Rhinolophidae,2018,LS,single_gut,124
S18LSBatR62,Rhinolophus thomasi,Rhinolophus,Rhinolophidae,2018,LS,single_gut,125
S18LSBatR61,Rhinolophus thomasi,Rhinolophus,Rhinolophidae,2018,LS,single_gut,126
S19MLBatR14,Rousettus amplexicaudatus,Rousettus,Pteropodidae,2019,ML,single_gut,127
S19MLBatR12,Rousettus amplexicaudatus,Rousettus,Pteropodidae,2019,ML,single_gut,128
S19MLBatR13,Rousettus amplexicaudatus,Rousettus,Pteropodidae,2019,ML,single_gut,129
S19MLBatR15,Rousettus amplexicaudatus,Rousettus,Pteropodidae,2019,ML,single_gut,130
S19MLBatR16,Rousettus amplexicaudatus,Rousettus,Pteropodidae,2019,ML,single_gut,131
S17WDBatR01,Rousettus leschenaultii,Rousettus,Pteropodidae,2017,WD,single_gut,132
S17WDBatR10,Rousettus leschenaultii,Rousettus,Pteropodidae,2017,WD,single_gut,133
S16WDBatR55,Rousettus leschenaultii,Rousettus,Pteropodidae,2016,WD,single_gut,134
S16WDBatR59,Rousettus leschenaultii,Rousettus,Pteropodidae,2016,WD,single_gut,135
S17WDBatR02,Rousettus leschenaultii,Rousettus,Pteropodidae,2017,WD,single_gut,136
S18WDBatR03,Rousettus leschenaultii,Rousettus,Pteropodidae,2018,WD,single_gut,137
S18WDBatR04,Rousettus leschenaultii,Rousettus,Pteropodidae,2018,WD,single_gut,138
S18WDBatR05,Rousettus leschenaultii,Rousettus,Pteropodidae,2018,WD,single_gut,139
S18WDBatR06,Rousettus leschenaultii,Rousettus,Pteropodidae,2018,WD,single_gut,140
S18WDBatR07,Rousettus leschenaultii,Rousettus,Pteropodidae,2018,WD,single_gut,141
S18WDBatR08,Rousettus leschenaultii,Rousettus,Pteropodidae,2018,WD,single_gut,142
S18WDBatR09,Rousettus leschenaultii,Rousettus,Pteropodidae,2018,WD,single_gut,143
S18WDBatR10,Rousettus leschenaultii,Rousettus,Pteropodidae,2018,WD,single_gut,144
S17WDBatR07,Rousettus leschenaultii,Rousettus,Pteropodidae,2017,WD,single_gut,145
S16WDBatR56,Rousettus leschenaultii,Rousettus,Pteropodidae,2016,WD,single_gut,146
S16WDBatR57,Rousettus leschenaultii,Rousettus,Pteropodidae,2016,WD,single_gut,147
S16WDBatR62,Rousettus leschenaultii,Rousettus,Pteropodidae,2016,WD,single_gut,148
S16WDBatR63,Rousettus leschenaultii,Rousettus,Pteropodidae,2016,WD,single_gut,149