virus_name,S15BSBatR01,S15BSBatR02,S15BSBatR03,S15BSBatR04,S15BSBatR05,S15BSBatR06,S15BSBatR07,S15BSBatR08,S15BSBatR09,S15ZKBatR11,S15ZKBatR12,S15ZKBatR13,S15ZKBatR21,S15ZKBatR22,S15ZKBatR23,S15ZKBatR24,S15ZKBatR25,S15ZKBatR26,S15ZKBatR27,S15ZKBatR28,S15ZKBatR29,S15ZKBatR30,S16WDBatR55,S16WDBatR56,S16WDBatR57,S16WDBatR58,S16WDBatR59,S16WDBatR60,S16WDBatR61,S16WDBatR62,S16WDBatR63,S17BSBatR01,S17BSBatR02,S17BSBatR03,S17BSBatR04,S17BSBatR05,S17BSBatR06,S17BSBatR07,S17BSBatR08,S17BSBatR09,S17BSBatR10,S17BSBatR11,S17BSBatR12,S17BSBatR13,S17BSBatR14,S17BSBatR15,S17BSBatR16,S17BSBatR17,S17BSBatR18,S17BSBatR19,S17BSBatR20,S17BSBatR31,S17BSBatR33,S17BSBatR34,S17BSBatR35,S17BSBatR36,S17BSBatR37,S17BSBatR38,S17BSBatR39,S17BSBatR40,S17BSBatR41,S17BSBatR42,S17BSBatR43,S17BSBatR44,S17BSBatR45,S17BSBatR46,S17BSBatR47,S17BSBatR48,S17BSBatR49,S17BSBatR50,S17WDBatR01,S17WDBatR02,S17WDBatR03,S17WDBatR04,S17WDBatR05,S17WDBatR06,S17WDBatR07,S17WDBatR08,S17WDBatR09,S17WDBatR10,S18CXBatR01,S18CXBatR02,S18CXBatR03,S18CXBatR04,S18CXBatR05,S18CXBatR06,S18CXBatR07,S18CXBatR08,S18CXBatR09,S18CXBatR10,S18CXBatR11,S18CXBatR12,S18CXBatR13,S18CXBatR14-2,S18CXBatR15,S18CXBatR16,S18CXBatR17-2,S18CXBatR18,S18CXBatR19,S18CXBatR20,S18CXBatR21,S18CXBatR22,S18CXBatR23,S18CXBatR24,S18CXBatR25,S18CXBatR26,S18CXBatR27,S18CXBatR28,S18CXBatR29,S18CXBatR30,S18CXBatR31,S18LSBatR53,S18LSBatR54,S18LSBatR55,S18LSBatR56,S18LSBatR57,S18LSBatR58,S18LSBatR59,S18LSBatR60,S18LSBatR61,S18LSBatR62,S18LSBatR73,S18LSBatR74,S18LSBatR75,S18LSBatR76,S18LSBatR77,S18LSBatR78,S18LSBatR79,S18LSBatR80,S18LSBatR81,S18LSBatR82,S18WDBatR01,S18WDBatR02,S18WDBatR03,S18WDBatR04,S18WDBatR05,S18WDBatR06,S18WDBatR07,S18WDBatR08,S18WDBatR09,S18WDBatR10,S19MLBatR09,S19MLBatR10,S19MLBatR11,S19MLBatR12,S19MLBatR13,S19MLBatR14,S19MLBatR15,S19MLBatR16
Bat coronavirus HKU10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1631,33,0,18,0,5,0,0,0,197,47,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bat circovirus BtSY1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bat polyomavirus BtSY1,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,707,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mammalian orthoreovirus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,750,2,1,2,0,2,0,0,16,0,0,2,4,10,0,0,10,3,2,0,0,0,5,0,0,0,17,20514,12,0,0,0,59167,6,8,8,0,0,0,0,0,0,0,0,0,0,77,0,0,0,17,39,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,9,38,4,0,13,9,129,2127,57,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhinolophus bat coronavirus HKU2-like,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhinolophus ferrumequinum alphacoronavirus HuB-2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,1,0,0,1,16,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rotavirus A type 1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,8,0,0,7,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,222,2,2,35,0,0,1,17,12,10865,5,4,0,57,5,1,0,231400,2172,2749,56,14,0,689,205,96,145,40,2,10,92,406192,193,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,42,6,2,4,0,0,0,39,0,0,0,2,0,0,210,4948484,0,7,8,2,17,0,22,0,0,0,0,23,0,0,0,0,0,0,2,0,0,0,461,2202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rotavirus A type 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Rotavirus A type 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,2,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,6,93,12,19,64,0,0,0,0,0,15,0,0,8,0
Rousettus bat coronavirus HKU9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,19,0,0,0,178,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,32,0,0,2,0,0,0,0,0,0,0,0,1,0
Shanbavirus A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,91579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bat mastadenovirus BtSY1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bat pararubulavirus BtSY1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bat astrovirus BtSY1,0,0,0,0,0,0,0,0,0,0,0,0,108,420,2,2,3,22,63,2,10449,104,0,0,0,0,0,0,0,0,0,0,0,19,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bat astrovirus BtSY2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bat astrovirus BtSY3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bat astrovirus BtSY4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
